medical entomology and zoology,WoS
issn:0424-7086,WoS
issn:2185-5609,WoS
the lancet,WoS
issn:0140-6736,WoS
issn:1474-547X,WoS
nature,WoS
issn:0028-0836,WoS
issn:1476-4687,WoS
"proceedings of spie, the international society for optical engineering/proceedings of spie",WoS
issn:0277-786X,WoS
issn:1996-756X,WoS
science,WoS
issn:0036-8075,WoS
issn:1095-9203,WoS
plos one,WoS
issn:1932-6203,WoS
bmj,WoS
issn:0959-8138,WoS
scientific reports,WoS
issn:2045-2322,WoS
reactions weekly,WoS
issn:0114-9954,WoS
issn:1179-2051,WoS
aip conference proceedings,WoS
issn:0094-243X,WoS
issn:1551-7616,WoS
issn:1935-0465,WoS
jama,WoS
issn:0098-7484,WoS
issn:1538-3598,WoS
journal of the american chemical society,WoS
issn:0002-7863,WoS
issn:1520-5126,WoS
issn:1943-2984,WoS
socio-environmental systems modeling,WoS
issn:2663-3027,WoS
journal of physics conference series,WoS
issn:1742-6588,WoS
issn:1742-6596,WoS
bulletin of the american physical society,WoS
issn:0003-0503,WoS
journal of biological chemistry,WoS
issn:0021-9258,WoS
issn:1067-8816,WoS
issn:1083-351X,WoS
blood,WoS
issn:0006-4971,WoS
issn:1528-0020,WoS
choice reviews online,WoS
issn:0009-4978,WoS
issn:1523-8253,WoS
issn:1943-5975,WoS
new england journal of medicine,WoS
issn:0028-4793,WoS
issn:1533-4406,WoS
agu fall meeting abstracts,WoS
journal of clinical oncology,WoS
issn:0732-183X,WoS
issn:1527-7755,WoS
the journal of the acoustical society of america,WoS
issn:0001-4966,WoS
issn:1520-8524,WoS
issn:1520-9024,WoS
proceedings of the national academy of sciences,WoS
issn:0027-8424,WoS
issn:1091-6490,WoS
gastroenterology,WoS
issn:0016-5085,WoS
issn:1528-0012,WoS
journal of international crisis and risk communication research,WoS
issn:2576-0017,WoS
issn:2576-0025,WoS
cancer research,WoS
issn:0008-5472,WoS
issn:1538-7445,WoS
the journal of urology,WoS
issn:0022-5347,WoS
issn:1527-3792,WoS
the medical journal of australia,WoS
issn:0025-729X,WoS
issn:1326-5377,WoS
journal of applied physics,WoS
issn:0021-8979,WoS
issn:1089-7550,WoS
issn:1520-8850,WoS
the journal of chemical physics,WoS
issn:0021-9606,WoS
issn:1089-7690,WoS
issn:1520-9032,WoS
advanced materials research,WoS
issn:1022-6680,WoS
issn:1662-8985,WoS
physical review letters,WoS
issn:0031-9007,WoS
issn:1079-7114,WoS
issn:1092-0145,WoS
angewandte chemie,WoS
issn:0044-8249,WoS
issn:1521-3757,WoS
applied physics letters,WoS
issn:0003-6951,WoS
issn:1077-3118,WoS
issn:1520-8842,WoS
analytical chemistry,WoS
issn:0003-2700,WoS
issn:1520-6882,WoS
the faseb journal,WoS
issn:0892-6638,WoS
issn:1530-6860,WoS
the astrophysical journal,WoS
issn:0004-637X,WoS
issn:1538-4357,WoS
journal of the american college of cardiology,WoS
issn:0735-1097,WoS
issn:1558-3597,WoS
circulation,WoS
issn:0009-7322,WoS
issn:1524-4539,WoS
sae technical papers on cd-rom/sae technical paper series,WoS
issn:0148-7191,WoS
issn:1083-4958,WoS
issn:2688-3627,WoS
applied mechanics and materials,WoS
issn:1660-9336,WoS
issn:1662-7482,WoS
issn:2297-8941,WoS
agufm,WoS
international journal of molecular sciences,WoS
issn:1422-0067,WoS
issn:1661-6596,WoS
cureus,WoS
issn:2168-8184,WoS
ieee access,WoS
issn:2169-3536,WoS
investigative ophthalmology & visual science,WoS
issn:0146-0404,WoS
issn:1552-5783,WoS
tetrahedron letters,WoS
issn:0040-4039,WoS
issn:1873-3581,WoS
sustainability,WoS
issn:2071-1050,WoS
the journal of immunology,WoS
issn:0022-1767,WoS
issn:1550-6606,WoS
the journal of organic chemistry,WoS
issn:0022-3263,WoS
issn:1520-6904,WoS
biochemical and biophysical research communications,WoS
issn:0006-291X,WoS
issn:1090-2104,WoS
ajn american journal of nursing,WoS
issn:0002-936X,WoS
issn:1538-7488,WoS
nursing standard,WoS
issn:0029-6570,WoS
issn:2047-9018,WoS
medicine & science in sports & exercise,WoS
issn:0195-9131,WoS
issn:1530-0315,WoS
american journal of obstetrics and gynecology,WoS
issn:0002-9378,WoS
issn:1085-8709,WoS
issn:1097-6868,WoS
monthly notices of the royal astronomical society,WoS
issn:0035-8711,WoS
issn:1365-2966,WoS
issn:1365-8711,WoS
neurology,WoS
issn:0028-3878,WoS
issn:1526-632X,WoS
"physical review. b, condensed matter",WoS
issn:0163-1829,WoS
issn:1095-3795,WoS
journal of alloys and compounds,WoS
issn:0925-8388,WoS
issn:1873-4669,WoS
the american journal of gastroenterology,WoS
issn:0002-9270,WoS
issn:1572-0241,WoS
radiopaedia.org,WoS
dmw - deutsche medizinische wochenschrift,WoS
issn:0012-0472,WoS
issn:1439-4413,WoS
nature communications,WoS
issn:2041-1723,WoS
applied sciences,WoS
issn:2076-3417,WoS
japanese journal of applied physics,WoS
issn:0021-4922,WoS
issn:1347-4065,WoS
international journal of radiation oncology*biology*physics,WoS
issn:0360-3016,WoS
issn:1879-355X,WoS
journal of geophysical research atmospheres,WoS
issn:0148-0227,WoS
issn:2156-2202,WoS
chest journal,WoS
issn:0012-3692,WoS
issn:1931-3543,WoS
biophysical journal,WoS
issn:0006-3495,WoS
issn:1542-0086,WoS
the science of the total environment,WoS
issn:0048-9697,WoS
issn:1879-1026,WoS
rsc advances,WoS
issn:2046-2069,WoS
angewandte chemie international edition,WoS
issn:1433-7851,WoS
issn:1521-3773,WoS
the mathematics enthusiast,WoS
issn:1551-3440,WoS
japanese circulation journal-english edition,WoS
plastic & reconstructive surgery,WoS
issn:0032-1052,WoS
issn:1076-5751,WoS
issn:1529-4242,WoS
sensors,WoS
issn:1424-8220,WoS
acta horticulturae,WoS
issn:0567-7572,WoS
issn:2406-6168,WoS
value in health,WoS
issn:1098-3015,WoS
issn:1524-4733,WoS
inorganic chemistry,WoS
issn:0020-1669,WoS
issn:1520-510X,WoS
ieice technical report; ieice tech. rep.,WoS
chemical communications,WoS
issn:1359-7345,WoS
issn:1364-548X,WoS
chemical engineering journal,WoS
issn:1385-8947,WoS
issn:1873-3212,WoS
annals of the rheumatic diseases,WoS
issn:0003-4967,WoS
issn:1468-2060,WoS
mrs proceedings,WoS
issn:0272-9172,WoS
issn:1946-4274,WoS
biochemistry,WoS
issn:0006-2960,WoS
issn:1520-4995,WoS
issn:1943-295X,WoS
annals of the new york academy of sciences,WoS
issn:0077-8923,WoS
issn:1749-6632,WoS
physical review b,WoS
issn:1098-0121,WoS
issn:1538-4489,WoS
issn:1550-235X,WoS
